web-scraper-order,web-scraper-start-url,newpage,team,matchup,date,winloss,min,pts,fgm,fga,fgpercent,3pm,3pa,3ppercent,ftm,fta,ftpercent,oreb,dreb,reb,ast,stl,blk,tov,pfidk,plusminus
"1710880555-518","https://www.nba.com/stats/teams/boxscores","","UTA","UTA @ PHX","02/08/2024","L","240","115","41","94","43.6","12","35","34.3","21","31","67.7","19","33","52","28","7","7","15","14","-14"
"1710880555-519","https://www.nba.com/stats/teams/boxscores","","NOP","NOP @ LAC","02/07/2024","W","240","117","47","88","53.4","12","32","37.5","11","16","68.8","8","30","38","30","13","5","15","17","11"
"1710880555-520","https://www.nba.com/stats/teams/boxscores","","LAC","LAC vs. NOP","02/07/2024","L","240","106","36","78","46.2","12","32","37.5","22","26","84.6","8","29","37","23","7","2","19","17","-11"
"1710880555-521","https://www.nba.com/stats/teams/boxscores","","DET","DET @ SAC","02/07/2024","W","240","133","47","84","56.0","17","31","54.8","22","22","100","6","42","48","32","2","2","13","21","13"
"1710880555-522","https://www.nba.com/stats/teams/boxscores","","SAC","SAC vs. DET","02/07/2024","L","240","120","45","95","47.4","15","44","34.1","15","22","68.2","5","28","33","31","7","6","4","20","-13"
"1710880555-523","https://www.nba.com/stats/teams/boxscores","","PHI","PHI vs. GSW","02/07/2024","L","240","104","41","98","41.8","8","32","25.0","14","14","100","11","29","40","21","7","8","15","16","-23"
"1710880555-524","https://www.nba.com/stats/teams/boxscores","","GSW","GSW @ PHI","02/07/2024","W","240","127","47","94","50.0","16","38","42.1","17","22","77.3","12","40","52","30","7","8","13","21","23"
"1710880555-525","https://www.nba.com/stats/teams/boxscores","","MIA","MIA vs. SAS","02/07/2024","W","240","116","43","87","49.4","12","38","31.6","18","23","78.3","5","40","45","29","8","2","11","20","12"
"1710880555-526","https://www.nba.com/stats/teams/boxscores","","SAS","SAS @ MIA","02/07/2024","L","240","104","41","90","45.6","12","37","32.4","10","17","58.8","6","40","46","30","6","2","15","21","-12"
"1710880555-527","https://www.nba.com/stats/teams/boxscores","","ATL","ATL @ BOS","02/07/2024","L","240","117","43","102","42.2","13","41","31.7","18","20","90.0","13","36","49","24","8","2","9","13","-8"
"1710880555-528","https://www.nba.com/stats/teams/boxscores","","BOS","BOS vs. ATL","02/07/2024","W","240","125","49","93","52.7","17","49","34.7","10","11","90.9","6","39","45","33","6","9","14","16","8"
"1710880555-529","https://www.nba.com/stats/teams/boxscores","","CHA","CHA vs. TOR","02/07/2024","L","240","117","44","90","48.9","16","39","41.0","13","20","65.0","9","29","38","27","6","2","10","20","-6"
"1710880555-530","https://www.nba.com/stats/teams/boxscores","","TOR","TOR @ CHA","02/07/2024","W","240","123","43","81","53.1","17","33","51.5","20","24","83.3","7","34","41","30","5","3","11","17","6"
"1710880555-531","https://www.nba.com/stats/teams/boxscores","","WAS","WAS vs. CLE","02/07/2024","L","240","106","42","94","44.7","16","40","40.0","6","9","66.7","12","35","47","27","10","5","15","23","-8"
"1710880555-532","https://www.nba.com/stats/teams/boxscores","","CLE","CLE @ WAS","02/07/2024","W","240","114","43","88","48.9","12","35","34.3","16","22","72.7","7","39","46","25","4","5","14","11","8"
"1710880555-533","https://www.nba.com/stats/teams/boxscores","","MIA","MIA vs. ORL","02/06/2024","W","240","121","47","87","54.0","13","36","36.1","14","18","77.8","11","34","45","31","10","3","13","19","26"
"1710880555-534","https://www.nba.com/stats/teams/boxscores","","IND","IND vs. HOU","02/06/2024","W","240","132","54","86","62.8","15","32","46.9","9","14","64.3","5","20","25","35","7","7","12","20","3"
"1710880555-535","https://www.nba.com/stats/teams/boxscores","","HOU","HOU @ IND","02/06/2024","L","240","129","50","97","51.5","12","25","48.0","17","23","73.9","20","28","48","26","5","3","15","16","-3"
"1710880555-536","https://www.nba.com/stats/teams/boxscores","","BKN","BKN vs. DAL","02/06/2024","L","240","107","41","91","45.1","12","33","36.4","13","15","86.7","8","35","43","33","6","5","10","13","-12"
"1710880555-537","https://www.nba.com/stats/teams/boxscores","","DAL","DAL @ BKN","02/06/2024","W","240","119","46","91","50.5","19","43","44.2","8","13","61.5","6","39","45","25","7","3","11","12","12"
"1710880555-538","https://www.nba.com/stats/teams/boxscores","","ORL","ORL @ MIA","02/06/2024","L","240","95","35","80","43.8","10","35","28.6","15","21","71.4","8","31","39","25","7","3","18","17","-26"
"1710880555-539","https://www.nba.com/stats/teams/boxscores","","NYK","NYK vs. MEM","02/06/2024","W","240","123","48","86","55.8","11","27","40.7","16","20","80.0","8","29","37","28","12","5","10","12","10"
"1710880555-540","https://www.nba.com/stats/teams/boxscores","","MEM","MEM @ NYK","02/06/2024","L","240","113","41","80","51.3","21","37","56.8","10","16","62.5","8","27","35","33","4","5","18","15","-10"
"1710880555-541","https://www.nba.com/stats/teams/boxscores","","CHI","CHI vs. MIN","02/06/2024","W","265","129","45","93","48.4","12","30","40.0","27","32","84.4","13","35","48","24","9","16","14","22","6"
"1710880555-542","https://www.nba.com/stats/teams/boxscores","","MIN","MIN @ CHI","02/06/2024","L","265","123","42","92","45.7","20","45","44.4","19","26","73.1","10","32","42","28","6","5","14","25","-6"
"1710880555-543","https://www.nba.com/stats/teams/boxscores","","OKC","OKC @ UTA","02/06/2024","L","240","117","43","90","47.8","19","37","51.4","12","18","66.7","9","23","32","26","9","9","11","16","-7"
"1710880555-544","https://www.nba.com/stats/teams/boxscores","","UTA","UTA vs. OKC","02/06/2024","W","240","124","46","89","51.7","14","35","40.0","18","20","90.0","15","33","48","29","9","8","17","17","7"
"1710880555-545","https://www.nba.com/stats/teams/boxscores","","PHX","PHX vs. MIL","02/06/2024","W","240","114","44","87","50.6","8","28","28.6","18","27","66.7","8","41","49","17","8","5","14","19","8"
"1710880555-546","https://www.nba.com/stats/teams/boxscores","","MIL","MIL @ PHX","02/06/2024","L","240","106","39","90","43.3","13","40","32.5","15","25","60.0","10","34","44","23","10","4","13","21","-8"
"1710880555-547","https://www.nba.com/stats/teams/boxscores","","SAC","SAC @ CLE","02/05/2024","L","240","110","43","93","46.2","17","44","38.6","7","12","58.3","10","30","40","28","5","1","12","18","-26"
"1710880555-548","https://www.nba.com/stats/teams/boxscores","","CLE","CLE vs. SAC","02/05/2024","W","240","136","51","88","58.0","23","41","56.1","11","17","64.7","5","40","45","36","10","5","9","15","26"
"1710880555-549","https://www.nba.com/stats/teams/boxscores","","CHA","CHA vs. LAL","02/05/2024","L","240","118","47","96","49.0","13","32","40.6","11","14","78.6","5","29","34","26","9","1","9","16","-6"
"1710880555-550","https://www.nba.com/stats/teams/boxscores","","LAL","LAL @ CHA","02/05/2024","W","240","124","50","89","56.2","8","34","23.5","16","19","84.2","7","41","48","36","5","6","17","12","6"
"1710880555-551","https://www.nba.com/stats/teams/boxscores","","DAL","DAL @ PHI","02/05/2024","W","240","118","42","87","48.3","17","43","39.5","17","23","73.9","8","36","44","28","6","4","10","16","16"
"1710880555-552","https://www.nba.com/stats/teams/boxscores","","LAC","LAC @ ATL","02/05/2024","W","240","149","52","89","58.4","21","35","60.0","24","31","77.4","8","28","36","32","8","5","8","19","5"
"1710880555-553","https://www.nba.com/stats/teams/boxscores","","ATL","ATL vs. LAC","02/05/2024","L","240","144","51","95","53.7","20","39","51.3","22","27","81.5","13","26","39","35","5","4","11","22","-5"
"1710880555-554","https://www.nba.com/stats/teams/boxscores","","BKN","BKN vs. GSW","02/05/2024","L","240","98","34","89","38.2","13","42","31.0","17","22","77.3","11","27","38","23","7","12","10","23","-11"
"1710880555-555","https://www.nba.com/stats/teams/boxscores","","GSW","GSW @ BKN","02/05/2024","W","240","109","43","93","46.2","4","22","18.2","19","23","82.6","16","44","60","24","7","8","14","17","11"
"1710880555-556","https://www.nba.com/stats/teams/boxscores","","NOP","NOP vs. TOR","02/05/2024","W","240","138","53","104","51.0","19","45","42.2","13","13","100","17","34","51","36","11","5","7","13","38"
"1710880555-557","https://www.nba.com/stats/teams/boxscores","","TOR","TOR @ NOP","02/05/2024","L","240","100","40","84","47.6","10","31","32.3","10","15","66.7","10","28","38","27","4","6","18","12","-38"
"1710880555-558","https://www.nba.com/stats/teams/boxscores","","PHI","PHI vs. DAL","02/05/2024","L","240","102","40","93","43.0","8","29","27.6","14","20","70.0","16","35","51","20","8","5","12","21","-16"
"1710880555-559","https://www.nba.com/stats/teams/boxscores","","ORL","ORL @ DET","02/04/2024","W","240","111","45","84","53.6","10","24","41.7","11","15","73.3","7","30","37","22","7","3","10","18","12"
"1710880555-560","https://www.nba.com/stats/teams/boxscores","","PHX","PHX @ WAS","02/04/2024","W","240","140","54","88","61.4","11","25","44.0","21","26","80.8","9","33","42","33","13","6","18","12","28"
"1710880555-561","https://www.nba.com/stats/teams/boxscores","","WAS","WAS vs. PHX","02/04/2024","L","240","112","47","96","49.0","7","32","21.9","11","17","64.7","13","22","35","32","11","4","18","19","-28"
"1710880555-562","https://www.nba.com/stats/teams/boxscores","","CHA","CHA vs. IND","02/04/2024","L","240","99","35","88","39.8","8","29","27.6","21","25","84.0","11","32","43","18","6","5","11","16","-16"
"1710880555-563","https://www.nba.com/stats/teams/boxscores","","IND","IND @ CHA","02/04/2024","W","240","115","45","92","48.9","11","33","33.3","14","18","77.8","11","38","49","34","5","4","11","15","16"
"1710880555-564","https://www.nba.com/stats/teams/boxscores","","LAC","LAC @ MIA","02/04/2024","W","240","103","34","77","44.2","16","39","41.0","19","22","86.4","9","39","48","23","6","5","17","12","8"
"1710880555-565","https://www.nba.com/stats/teams/boxscores","","MIA","MIA vs. LAC","02/04/2024","L","240","95","38","91","41.8","8","30","26.7","11","12","91.7","12","33","45","24","9","0","10","19","-8"
"1710880555-566","https://www.nba.com/stats/teams/boxscores","","MIN","MIN vs. HOU","02/04/2024","W","240","111","40","90","44.4","11","30","36.7","20","27","74.1","11","47","58","21","6","11","16","19","21"
"1710880555-567","https://www.nba.com/stats/teams/boxscores","","HOU","HOU @ MIN","02/04/2024","L","240","90","31","88","35.2","10","30","33.3","18","27","66.7","10","31","41","20","10","7","11","26","-21"
"1710880555-568","https://www.nba.com/stats/teams/boxscores","","TOR","TOR @ OKC","02/04/2024","L","290","127","48","101","47.5","14","35","40.0","17","21","81.0","11","37","48","38","6","5","12","16","-8"
"1710880555-569","https://www.nba.com/stats/teams/boxscores","","OKC","OKC vs. TOR","02/04/2024","W","290","135","52","110","47.3","23","63","36.5","8","8","100","14","31","45","40","6","8","11","15","8"
"1710880555-570","https://www.nba.com/stats/teams/boxscores","","UTA","UTA vs. MIL","02/04/2024","W","240","123","43","89","48.3","17","44","38.6","20","24","83.3","12","40","52","31","3","3","16","24","15"
"1710880555-571","https://www.nba.com/stats/teams/boxscores","","MIL","MIL @ UTA","02/04/2024","L","240","108","39","84","46.4","15","41","36.6","15","25","60.0","7","25","32","27","8","3","12","21","-15"
"1710880555-572","https://www.nba.com/stats/teams/boxscores","","DEN","DEN vs. POR","02/04/2024","W","240","112","42","86","48.8","12","28","42.9","16","19","84.2","14","28","42","26","8","6","9","11","9"
"1710880555-573","https://www.nba.com/stats/teams/boxscores","","POR","POR @ DEN","02/04/2024","L","240","103","39","85","45.9","11","31","35.5","14","15","93.3","15","27","42","29","6","3","13","16","-9"
"1710880555-574","https://www.nba.com/stats/teams/boxscores","","MEM","MEM @ BOS","02/04/2024","L","240","91","35","92","38.0","11","38","28.9","10","12","83.3","16","30","46","19","5","3","20","15","-40"
"1710880555-575","https://www.nba.com/stats/teams/boxscores","","BOS","BOS vs. MEM","02/04/2024","W","240","131","48","99","48.5","19","51","37.3","16","18","88.9","17","40","57","30","12","4","11","13","40"
"1710880555-576","https://www.nba.com/stats/teams/boxscores","","DET","DET vs. ORL","02/04/2024","L","240","99","36","80","45.0","8","31","25.8","19","22","86.4","9","27","36","22","6","5","15","18","-12"
"1710880555-577","https://www.nba.com/stats/teams/boxscores","","CLE","CLE @ SAS","02/03/2024","W","240","117","46","97","47.4","13","44","29.5","12","13","92.3","10","41","51","31","6","4","10","19","16"
"1710880555-578","https://www.nba.com/stats/teams/boxscores","","SAS","SAS vs. CLE","02/03/2024","L","240","101","36","98","36.7","12","40","30.0","17","21","81.0","14","40","54","23","6","6","12","13","-16"
"1710880555-579","https://www.nba.com/stats/teams/boxscores","","NYK","NYK vs. LAL","02/03/2024","L","240","105","41","100","41.0","10","35","28.6","13","15","86.7","18","33","51","21","1","4","7","20","-8"
"1710880555-580","https://www.nba.com/stats/teams/boxscores","","LAL","LAL @ NYK","02/03/2024","W","240","113","39","80","48.8","12","31","38.7","23","27","85.2","3","35","38","28","4","11","5","16","8"
"1710880555-581","https://www.nba.com/stats/teams/boxscores","","DAL","DAL vs. MIL","02/03/2024","L","240","117","40","81","49.4","16","39","41.0","21","23","91.3","8","34","42","22","9","1","21","19","-12"
"1710880555-582","https://www.nba.com/stats/teams/boxscores","","MIL","MIL @ DAL","02/03/2024","W","240","129","50","88","56.8","12","30","40.0","17","25","68.0","5","31","36","34","13","2","12","21","12"
"1710880555-583","https://www.nba.com/stats/teams/boxscores","","CHI","CHI vs. SAC","02/03/2024","L","240","115","42","91","46.2","11","34","32.4","20","22","90.9","11","36","47","24","13","3","16","20","-8"
"1710880555-584","https://www.nba.com/stats/teams/boxscores","","SAC","SAC @ CHI","02/03/2024","W","240","123","42","84","50.0","15","39","38.5","24","29","82.8","4","36","40","33","12","1","17","18","8"
"1710880555-585","https://www.nba.com/stats/teams/boxscores","","BKN","BKN @ PHI","02/03/2024","W","240","136","49","95","51.6","20","51","39.2","18","23","78.3","13","40","53","35","3","5","12","20","15"
"1710880555-586","https://www.nba.com/stats/teams/boxscores","","PHI","PHI vs. BKN","02/03/2024","L","240","121","44","96","45.8","12","29","41.4","21","27","77.8","11","33","44","26","7","1","5","17","-15"
"1710880555-587","https://www.nba.com/stats/teams/boxscores","","ATL","ATL vs. GSW","02/03/2024","W","265","141","55","114","48.2","14","43","32.6","17","22","77.3","16","41","57","27","5","4","8","20","7"
"1710880555-588","https://www.nba.com/stats/teams/boxscores","","GSW","GSW @ ATL","02/03/2024","L","265","134","50","112","44.6","18","56","32.1","16","20","80.0","14","43","57","26","4","7","14","23","-7"
"1710880555-589","https://www.nba.com/stats/teams/boxscores","","DEN","DEN vs. POR","02/02/2024","W","240","120","46","91","50.5","12","36","33.3","16","17","94.1","16","32","48","34","3","6","12","20","12"
"1710880555-590","https://www.nba.com/stats/teams/boxscores","","POR","POR @ DEN","02/02/2024","L","240","108","37","80","46.3","10","28","35.7","24","30","80.0","13","24","37","14","7","4","10","16","-12"
"1710880555-591","https://www.nba.com/stats/teams/boxscores","","DET","DET vs. LAC","02/02/2024","L","240","125","45","89","50.6","17","40","42.5","18","24","75.0","13","25","38","28","5","3","17","18","-11"
"1710880555-592","https://www.nba.com/stats/teams/boxscores","","LAC","LAC @ DET","02/02/2024","W","240","136","53","89","59.6","14","29","48.3","16","19","84.2","7","29","36","31","12","5","11","21","11"
"1710880555-593","https://www.nba.com/stats/teams/boxscores","","MIA","MIA @ WAS","02/02/2024","W","240","110","38","88","43.2","7","31","22.6","27","35","77.1","14","45","59","24","4","1","12","18","8"
"1710880555-594","https://www.nba.com/stats/teams/boxscores","","WAS","WAS vs. MIA","02/02/2024","L","240","102","37","90","41.1","11","42","26.2","17","21","81.0","6","37","43","28","5","4","9","25","-8"
"1710880555-595","https://www.nba.com/stats/teams/boxscores","","PHX","PHX @ ATL","02/02/2024","L","240","120","47","88","53.4","14","37","37.8","12","14","85.7","8","30","38","31","6","5","17","17","-9"
"1710880555-596","https://www.nba.com/stats/teams/boxscores","","ATL","ATL vs. PHX","02/02/2024","W","240","129","49","95","51.6","17","44","38.6","14","18","77.8","12","31","43","29","7","4","10","13","9"
"1710880555-597","https://www.nba.com/stats/teams/boxscores","","IND","IND vs. SAC","02/02/2024","L","240","122","46","85","54.1","10","29","34.5","20","24","83.3","8","31","39","23","13","3","22","20","-11"
"1710880555-598","https://www.nba.com/stats/teams/boxscores","","SAC","SAC @ IND","02/02/2024","W","240","133","51","90","56.7","13","34","38.2","18","28","64.3","9","29","38","26","15","3","17","17","11"
"1710880555-599","https://www.nba.com/stats/teams/boxscores","","OKC","OKC vs. CHA","02/02/2024","W","240","126","44","75","58.7","17","36","47.2","21","27","77.8","3","41","44","31","10","10","19","17","20"
"1710880555-600","https://www.nba.com/stats/teams/boxscores","","CHA","CHA @ OKC","02/02/2024","L","240","106","41","92","44.6","14","31","45.2","10","14","71.4","7","28","35","22","12","4","14","21","-20"
"1710880555-601","https://www.nba.com/stats/teams/boxscores","","MIN","MIN vs. ORL","02/02/2024","L","240","106","38","82","46.3","12","38","31.6","18","20","90.0","6","32","38","24","8","5","17","20","-2"
"1710880555-602","https://www.nba.com/stats/teams/boxscores","","ORL","ORL @ MIN","02/02/2024","W","240","108","39","85","45.9","9","25","36.0","21","26","80.8","10","32","42","24","11","4","15","17","2"
"1710880555-603","https://www.nba.com/stats/teams/boxscores","","TOR","TOR @ HOU","02/02/2024","L","240","106","40","91","44.0","11","33","33.3","15","20","75.0","8","29","37","17","11","5","14","18","-29"
"1710880555-604","https://www.nba.com/stats/teams/boxscores","","HOU","HOU vs. TOR","02/02/2024","W","240","135","55","93","59.1","11","31","35.5","14","17","82.4","7","42","49","30","9","3","15","20","29"
"1710880555-605","https://www.nba.com/stats/teams/boxscores","","NOP","NOP @ SAS","02/02/2024","W","240","114","46","95","48.4","7","26","26.9","15","21","71.4","13","26","39","29","14","3","9","17","1"
"1710880555-606","https://www.nba.com/stats/teams/boxscores","","SAS","SAS vs. NOP","02/02/2024","L","240","113","46","96","47.9","10","39","25.6","11","18","61.1","18","37","55","35","6","10","18","16","-1"
"1710880555-607","https://www.nba.com/stats/teams/boxscores","","MEM","MEM vs. GSW","02/02/2024","L","240","101","35","87","40.2","14","46","30.4","17","24","70.8","9","28","37","30","7","4","14","20","-20"
"1710880555-608","https://www.nba.com/stats/teams/boxscores","","GSW","GSW @ MEM","02/02/2024","W","240","121","46","83","55.4","11","29","37.9","18","22","81.8","6","40","46","32","7","8","14","17","20"
"1710880555-609","https://www.nba.com/stats/teams/boxscores","","UTA","UTA vs. PHI","02/01/2024","L","240","124","45","87","51.7","12","36","33.3","22","25","88.0","10","33","43","36","3","9","11","15","-3"
"1710880555-610","https://www.nba.com/stats/teams/boxscores","","PHI","PHI @ UTA","02/01/2024","W","240","127","47","94","50.0","14","32","43.8","19","21","90.5","10","30","40","27","6","11","5","22","3"
"1710880555-611","https://www.nba.com/stats/teams/boxscores","","BOS","BOS vs. LAL","02/01/2024","L","240","105","41","97","42.3","16","48","33.3","7","7","100","14","40","54","30","4","12","15","19","-9"
"1710880555-612","https://www.nba.com/stats/teams/boxscores","","LAL","LAL @ BOS","02/01/2024","W","240","114","38","94","40.4","19","36","52.8","19","26","73.1","15","37","52","30","11","2","7","8","9"
"1710880555-613","https://www.nba.com/stats/teams/boxscores","","CLE","CLE @ MEM","02/01/2024","W","240","108","41","86","47.7","14","35","40.0","12","18","66.7","10","38","48","26","6","8","14","16","7"
"1710880555-614","https://www.nba.com/stats/teams/boxscores","","MEM","MEM vs. CLE","02/01/2024","L","240","101","37","90","41.1","12","38","31.6","15","17","88.2","7","36","43","25","9","12","13","19","-7"
"1710880555-615","https://www.nba.com/stats/teams/boxscores","","NYK","NYK vs. IND","02/01/2024","W","240","109","41","103","39.8","8","38","21.1","19","25","76.0","24","36","60","15","8","7","10","14","4"
"1710880555-616","https://www.nba.com/stats/teams/boxscores","","IND","IND @ NYK","02/01/2024","L","240","105","42","93","45.2","13","33","39.4","8","13","61.5","9","35","44","21","9","9","13","25","-4"
"1710880555-617","https://www.nba.com/stats/teams/boxscores","","LAC","LAC @ WAS","01/31/2024","W","240","125","47","100","47.0","12","30","40.0","19","22","86.4","18","34","52","25","9","7","8","16","16"
"1710880555-618","https://www.nba.com/stats/teams/boxscores","","WAS","WAS vs. LAC","01/31/2024","L","240","109","45","97","46.4","9","29","31.0","10","15","66.7","12","33","45","19","4","10","13","19","-16"
"1710880555-619","https://www.nba.com/stats/teams/boxscores","","DET","DET @ CLE","01/31/2024","L","240","121","45","81","55.6","16","31","51.6","15","19","78.9","7","28","35","27","8","3","19","17","-7"
"1710880555-620","https://www.nba.com/stats/teams/boxscores","","CLE","CLE vs. DET","01/31/2024","W","240","128","47","89","52.8","12","35","34.3","22","23","95.7","10","23","33","26","13","5","9","15","7"
"1710880555-621","https://www.nba.com/stats/teams/boxscores","","CHA","CHA vs. CHI","01/31/2024","L","240","110","40","90","44.4","16","46","34.8","14","17","82.4","9","31","40","25","4","6","10","18","-7"
"1710880555-622","https://www.nba.com/stats/teams/boxscores","","CHI","CHI @ CHA","01/31/2024","W","240","117","45","87","51.7","11","29","37.9","16","22","72.7","11","33","44","28","4","7","10","13","7"
"1710880555-623","https://www.nba.com/stats/teams/boxscores","","SAC","SAC @ MIA","01/31/2024","L","240","106","41","93","44.1","12","40","30.0","12","18","66.7","12","32","44","26","6","3","9","17","-9"
"1710880555-624","https://www.nba.com/stats/teams/boxscores","","MIA","MIA vs. SAC","01/31/2024","W","240","115","42","84","50.0","13","28","46.4","18","23","78.3","7","42","49","38","3","2","10","16","9"
"1710880555-625","https://www.nba.com/stats/teams/boxscores","","ORL","ORL @ SAS","01/31/2024","W","240","108","41","86","47.7","7","20","35.0","19","23","82.6","12","33","45","29","10","5","16","20","10"
"1710880555-626","https://www.nba.com/stats/teams/boxscores","","SAS","SAS vs. ORL","01/31/2024","L","240","98","36","80","45.0","9","31","29.0","17","24","70.8","7","34","41","24","9","9","19","20","-10"
"1710880555-627","https://www.nba.com/stats/teams/boxscores","","NOP","NOP @ HOU","01/31/2024","W","240","110","41","82","50.0","11","34","32.4","17","24","70.8","12","44","56","20","3","6","16","22","11"
"1710880555-628","https://www.nba.com/stats/teams/boxscores","","HOU","HOU vs. NOP","01/31/2024","L","240","99","35","87","40.2","13","44","29.5","16","17","94.1","5","24","29","19","11","2","5","21","-11"
"1710880555-629","https://www.nba.com/stats/teams/boxscores","","MIN","MIN vs. DAL","01/31/2024","W","240","121","45","80","56.3","13","30","43.3","18","30","60.0","9","36","45","31","6","4","10","24","34"
"1710880555-630","https://www.nba.com/stats/teams/boxscores","","DAL","DAL @ MIN","01/31/2024","L","240","87","31","76","40.8","6","29","20.7","19","26","73.1","9","22","31","18","4","4","17","24","-34"
"1710880555-631","https://www.nba.com/stats/teams/boxscores","","DEN","DEN @ OKC","01/31/2024","L","240","100","37","93","39.8","15","37","40.5","11","16","68.8","12","35","47","21","7","9","10","23","-5"
"1710880555-632","https://www.nba.com/stats/teams/boxscores","","OKC","OKC vs. DEN","01/31/2024","W","240","105","37","87","42.5","11","26","42.3","20","25","80.0","15","38","53","24","2","9","13","14","5"
"1710880555-633","https://www.nba.com/stats/teams/boxscores","","PHX","PHX @ BKN","01/31/2024","W","240","136","49","79","62.0","14","28","50.0","24","32","75.0","9","33","42","35","5","6","16","12","16"
"1710880555-634","https://www.nba.com/stats/teams/boxscores","","BKN","BKN vs. PHX","01/31/2024","L","240","120","47","94","50.0","16","39","41.0","10","13","76.9","8","19","27","28","11","1","11","24","-16"
"1710880555-635","https://www.nba.com/stats/teams/boxscores","","POR","POR vs. MIL","01/31/2024","W","240","119","49","92","53.3","12","28","42.9","9","9","100","9","30","39","26","9","1","11","20","3"
"1710880555-636","https://www.nba.com/stats/teams/boxscores","","MIL","MIL @ POR","01/31/2024","L","240","116","45","92","48.9","13","45","28.9","13","18","72.2","10","29","39","27","7","5","13","17","-3"
"1710880555-637","https://www.nba.com/stats/teams/boxscores","","PHI","PHI @ GSW","01/30/2024","L","240","107","39","85","45.9","13","30","43.3","16","21","76.2","13","26","39","11","14","2","16","24","-12"
"1710880555-638","https://www.nba.com/stats/teams/boxscores","","GSW","GSW vs. PHI","01/30/2024","W","240","119","44","79","55.7","14","32","43.8","17","19","89.5","8","34","42","32","6","6","18","20","12"
"1710880555-639","https://www.nba.com/stats/teams/boxscores","","CHI","CHI vs. TOR","01/30/2024","L","240","107","38","75","50.7","11","32","34.4","20","27","74.1","6","27","33","21","9","9","20","16","-11"
"1710880555-640","https://www.nba.com/stats/teams/boxscores","","UTA","UTA @ NYK","01/30/2024","L","240","103","39","86","45.3","12","36","33.3","13","17","76.5","15","28","43","23","3","5","15","16","-15"
"1710880555-641","https://www.nba.com/stats/teams/boxscores","","NYK","NYK vs. UTA","01/30/2024","W","240","118","44","94","46.8","13","34","38.2","17","18","94.4","14","31","45","29","9","7","6","16","15"
"1710880555-642","https://www.nba.com/stats/teams/boxscores","","LAL","LAL @ ATL","01/30/2024","L","240","122","48","90","53.3","12","33","36.4","14","25","56.0","7","30","37","28","12","3","14","16","-16"
"1710880555-643","https://www.nba.com/stats/teams/boxscores","","ATL","ATL vs. LAL","01/30/2024","W","240","138","53","101","52.5","16","38","42.1","16","18","88.9","12","34","46","32","10","2","12","18","16"
"1710880555-644","https://www.nba.com/stats/teams/boxscores","","IND","IND @ BOS","01/30/2024","L","240","124","50","108","46.3","12","39","30.8","12","15","80.0","19","31","50","33","4","2","8","21","-5"
"1710880555-645","https://www.nba.com/stats/teams/boxscores","","BOS","BOS vs. IND","01/30/2024","W","240","129","47","87","54.0","17","36","47.2","18","22","81.8","7","33","40","25","6","9","12","16","5"
"1710880555-646","https://www.nba.com/stats/teams/boxscores","","TOR","TOR @ CHI","01/30/2024","W","240","118","43","83","51.8","14","29","48.3","18","20","90.0","9","29","38","34","10","4","20","20","11"
"1710880555-647","https://www.nba.com/stats/teams/boxscores","","ORL","ORL @ DAL","01/29/2024","L","240","129","45","88","51.1","18","38","47.4","21","28","75.0","12","23","35","27","7","1","12","33","-2"
"1710880555-648","https://www.nba.com/stats/teams/boxscores","","POR","POR vs. PHI","01/29/2024","W","240","130","46","84","54.8","12","28","42.9","26","29","89.7","11","28","39","29","7","5","13","24","26"
"1710880555-649","https://www.nba.com/stats/teams/boxscores","","PHI","PHI @ POR","01/29/2024","L","240","104","37","83","44.6","5","29","17.2","25","28","89.3","12","22","34","17","6","5","17","25","-26"
"1710880555-650","https://www.nba.com/stats/teams/boxscores","","MIL","MIL @ DEN","01/29/2024","L","240","107","36","84","42.9","16","40","40.0","19","25","76.0","7","33","40","24","3","7","13","22","-6"
"1710880555-651","https://www.nba.com/stats/teams/boxscores","","DEN","DEN vs. MIL","01/29/2024","W","240","113","44","91","48.4","4","18","22.2","21","24","87.5","9","38","47","29","7","4","8","22","6"
"1710880555-652","https://www.nba.com/stats/teams/boxscores","","NYK","NYK @ CHA","01/29/2024","W","240","113","44","84","52.4","12","37","32.4","13","16","81.3","7","35","42","25","5","3","9","16","21"
"1710880555-653","https://www.nba.com/stats/teams/boxscores","","CHA","CHA vs. NYK","01/29/2024","L","240","92","37","81","45.7","11","32","34.4","7","14","50.0","9","32","41","23","4","6","14","14","-21"
"1710880555-654","https://www.nba.com/stats/teams/boxscores","","LAC","LAC @ CLE","01/29/2024","L","240","108","38","80","47.5","11","34","32.4","21","28","75.0","6","31","37","28","8","3","13","21","-10"
"1710880555-655","https://www.nba.com/stats/teams/boxscores","","CLE","CLE vs. LAC","01/29/2024","W","240","118","42","86","48.8","13","40","32.5","21","26","80.8","11","35","46","28","6","3","13","18","10"
"1710880555-656","https://www.nba.com/stats/teams/boxscores","","NOP","NOP @ BOS","01/29/2024","L","240","112","46","91","50.5","10","35","28.6","10","13","76.9","9","31","40","21","7","6","12","14","-6"
"1710880555-657","https://www.nba.com/stats/teams/boxscores","","BOS","BOS vs. NOP","01/29/2024","W","240","118","43","85","50.6","17","46","37.0","15","20","75.0","6","34","40","27","7","5","11","15","6"
