web-scraper-order,web-scraper-start-url,newpage,team,matchup,date,winloss,min,pts,fgm,fga,fgpercent,3pm,3pa,3ppercent,ftm,fta,ftpercent,oreb,dreb,reb,ast,stl,blk,tov,pfidk,plusminus
"1710880555-87","https://www.nba.com/stats/teams/boxscores","","ATL","ATL @ POR","03/13/2024","L","240","102","38","88","43.2","14","39","35.9","12","18","66.7","13","25","38","19","11","6","15","23","-4"
"1710880555-88","https://www.nba.com/stats/teams/boxscores","","POR","POR vs. ATL","03/13/2024","W","240","106","38","82","46.3","10","30","33.3","20","24","83.3","12","37","49","24","7","5","18","21","4"
"1710880555-89","https://www.nba.com/stats/teams/boxscores","","SAC","SAC vs. LAL","03/13/2024","W","240","120","46","88","52.3","19","41","46.3","9","12","75.0","9","35","44","30","11","2","14","19","13"
"1710880555-90","https://www.nba.com/stats/teams/boxscores","","LAL","LAL @ SAC","03/13/2024","L","240","107","38","78","48.7","14","32","43.8","17","22","77.3","7","31","38","25","8","2","14","12","-13"
"1710880555-91","https://www.nba.com/stats/teams/boxscores","","SAC","SAC vs. MIL","03/12/2024","W","240","129","49","92","53.3","18","40","45.0","13","16","81.3","6","45","51","34","11","1","9","26","35"
"1710880555-92","https://www.nba.com/stats/teams/boxscores","","MIL","MIL @ SAC","03/12/2024","L","240","94","30","82","36.6","7","39","17.9","27","35","77.1","10","34","44","23","3","2","13","18","-35"
"1710880555-93","https://www.nba.com/stats/teams/boxscores","","LAC","LAC vs. MIN","03/12/2024","L","240","100","34","72","47.2","11","30","36.7","21","25","84.0","8","26","34","22","7","4","18","18","-18"
"1710880555-94","https://www.nba.com/stats/teams/boxscores","","MIN","MIN @ LAC","03/12/2024","W","240","118","48","94","51.1","12","33","36.4","10","14","71.4","19","29","48","26","11","6","11","20","18"
"1710880555-95","https://www.nba.com/stats/teams/boxscores","","UTA","UTA vs. BOS","03/12/2024","L","240","107","41","86","47.7","15","32","46.9","10","11","90.9","9","29","38","23","4","7","10","18","-16"
"1710880555-96","https://www.nba.com/stats/teams/boxscores","","BOS","BOS @ UTA","03/12/2024","W","240","123","43","92","46.7","20","49","40.8","17","19","89.5","14","32","46","25","5","8","9","14","16"
